stkcd,year,current_assets,fixed_assets_net,total_assets,current_liabilities,total_liabilities,net_profit,depr_amort,equity_nature_id,never_st,m2,lev,npr,size,tang,lag_total_assets,growth,ndts,soe,liq,m2_growth,industry_name_d,industry_code_d,ind_code_raw,ind_code,lev_raw,npr_raw,tang_raw,growth_raw,ndts_raw,liq_raw
698,2013,1907873169.0,4502381305.0,7020973306.0,2387159050.0,3933702383.0,30123846.04,464768689.2,1,1.0,110652.5,0.5602787835182805,0.0042905512849987,22.672167692951792,0.6412759469050173,7017234692.0,0.0005327759671857,0.0661971879031098,1.0,0.7992233148436423,13.58890962037831,石油、煤炭及其他燃料加工业,C25,C25,C25,0.5602787835182805,0.0042905512849987,0.6412759469050173,0.0005327759671857,0.0661971879031098,0.7992233148436423
698,2014,1692075628.0,4042626055.0,7540786417.0,3583116248.0,4437028654.0,16486839.62,456805624.6,1,1.0,122837.48,0.5884039685830555,0.0021863554685532,22.743592312864347,0.5361013867050095,7020973306.0,0.0740371866327674,0.0605779821014654,1.0,0.4722357609649063,11.011933756580271,石油、煤炭及其他燃料加工业,C25,C25,C25,0.5884039685830555,0.0021863554685532,0.5361013867050095,0.0740371866327674,0.0605779821014654,0.4722357609649063
698,2015,2718362440.0,4135929580.0,9630624573.0,3825109658.0,5757627916.0,186033998.6,507384545.7,1,1.0,139227.81,0.597845744308405,0.0193169193949847,22.988213917662662,0.4294560076192059,7540786417.0,0.2771379588856481,0.0526844901754847,1.0,0.710662617034965,13.343101795966517,石油、煤炭及其他燃料加工业,C25,C25,C25,0.597845744308405,0.0193169193949847,0.4294560076192059,0.2771379588856481,0.0526844901754847,0.710662617034965
698,2016,3924406395.0,5396124281.0,10597892941.0,4637652584.0,6385770458.0,339125807.6,566266971.9,1,1.0,155006.67,0.6025509498492301,0.0319993615228953,23.083921039154298,0.50916954068521,9630624573.0,0.1004367225269887,0.0534320336176719,1.0,0.8462053428795605,11.333123748768315,石油、煤炭及其他燃料加工业,C25,C25,C25,0.6025509498492301,0.0319993615228953,0.50916954068521,0.1004367225269887,0.0534320336176719,0.8462053428795605
698,2017,3605125830.0,4938346149.0,9859844755.0,4839991692.0,5473067643.0,227923003.5,589410995.6,1,1.0,169023.53,0.5550865940586506,0.0231162872401635,23.011736260507995,0.5008543513320256,10597892941.0,-0.0696410305434128,0.0597789326552129,1.0,0.7448619872548327,9.042746354076248,石油、煤炭及其他燃料加工业,C25,C25,C25,0.5550865940586506,0.0231162872401635,0.5008543513320256,-0.0696410305434128,0.0597789326552129,0.7448619872548327
698,2018,3469496640.0,4635591766.0,9312022538.0,4039815936.0,4935759307.0,-10513881.25,590485544.2,1,1.0,182674.42,0.5300415980372061,-0.0011290652709543,22.954572148250435,0.4978071892634845,9859844755.0,-0.0555609373790794,0.0634110948282586,1.0,0.8588254254562157,8.076325231167525,石油、煤炭及其他燃料加工业,C25,C25,C25,0.5300415980372061,-0.0011290652709543,0.4978071892634845,-0.0555609373790794,0.0634110948282586,0.8588254254562157
698,2019,3782652039.0,3843999570.0,8856588923.0,5062538588.0,5571701248.0,-1054392028.0,611439670.7,1,1.0,198648.88,0.6291023887910892,-0.1190517068328429,22.90442753002881,0.4340270959192174,9312022538.0,-0.0489081306602825,0.0690378288995812,1.0,0.7471848309396036,8.744771161720388,石油、煤炭及其他燃料加工业,C25,C25,C25,0.6291023887910892,-0.1190517068328429,0.4340270959192174,-0.0489081306602825,0.0690378288995812,0.7471848309396036
698,2020,4776334644.0,3471526597.0,9913294986.0,5712554763.0,6369654135.0,254471828.0,557396934.9,1,1.0,218679.59,0.6425365273600262,0.0256697524243328,23.01714262104459,0.3501889736866143,8856588923.0,0.119312985189569,0.0562272116069562,1.0,0.8361118347496882,10.083474923191105,石油、煤炭及其他燃料加工业,C25,C25,C25,0.6425365273600262,0.0256697524243328,0.3501889736866143,0.119312985189569,0.0562272116069562,0.8361118347496882
698,2021,4849886261.0,3064284552.0,9695482334.0,5148668316.0,5969558390.0,254030850.3,522201127.0,1,1.0,238289.96,0.6157051484758035,0.0262009502517649,22.99492587520288,0.3160528219678359,9913294986.0,-0.0219717714753373,0.0538602525393452,1.0,0.9419690613839884,8.96762701997018,石油、煤炭及其他燃料加工业,C25,C25,C25,0.6157051484758035,0.0262009502517649,0.3160528219678359,-0.0219717714753373,0.0538602525393452,0.9419690613839884
698,2022,3318565140.0,2396924881.0,6817506783.0,3562806520.0,4808715362.0,-1716971085.0,471766014.5,1,1.0,266432.08,0.7053480861934626,-0.1952400705774194,22.642759667623015,0.3515837911561635,9695482334.0,-0.2181124545998877,0.0691991998711884,1.0,0.9314469144959352,11.81003177809088,石油、煤炭及其他燃料加工业,C25,C25,C25,0.7053480861934626,-0.2518473599881712,0.3515837911561635,-0.2968367587971926,0.0691991998711884,0.9314469144959352
698,2023,2715341344.0,2372470118.0,6083200109.0,4149840154.0,4529817641.0,-457419780.1,238958555.2,1,1.0,292271.33,0.7446438650436972,-0.0751939393582096,22.528796728176584,0.3900036289271443,6817506783.0,-0.1077089759310621,0.0392817186543747,1.0,0.654324321716995,9.698250300789612,化学原料和化学制品制造业,C26,C26,C26,0.7446438650436972,-0.0751939393582096,0.3900036289271443,-0.1077089759310621,0.0392817186543747,0.654324321716995
698,2024,1984305598.0,1796378923.0,4956036803.0,3177201622.0,3578148278.0,-167293408.8,227273519.9,1,1.0,313532.23,0.7219777455716363,-0.0337554815369275,22.32387222663408,0.3624627892013658,6083200109.0,-0.1852911766509833,0.0458579160999018,1.0,0.6245450664068684,7.274370702045929,化学原料和化学制品制造业,C26,C26,C26,0.7219777455716363,-0.0337554815369275,0.3624627892013658,-0.1852911766509833,0.0458579160999018,0.6245450664068684
698,2025,2182862242.0,2240148625.0,5121097077.0,2819918990.0,3742111836.0,-10912278.18,232253776.3,1,1.0,340294.81,0.7307246435156769,-0.0021308477492077,22.35663452589624,0.4374352978116763,4956036803.0,0.0333048927118711,0.0453523479066827,1.0,0.7740868619775492,8.535830590686011,化学原料和化学制品制造业,C26,C26,C26,0.7307246435156769,-0.0021308477492077,0.4374352978116763,0.0333048927118711,0.0453523479066827,0.7740868619775492
